year,location,season,rank,team,gold,silver,bronze,total
2024,Paris,Summer,1,United States,40,44,42,126
2024,Paris,Summer,2,China,40,27,24,91
2024,Paris,Summer,3,Japan,20,12,13,45
2024,Paris,Summer,4,Australia,18,19,16,53
2024,Paris,Summer,5,France,16,26,22,64
2024,Paris,Summer,6,Netherlands,15,7,12,34
2024,Paris,Summer,7,Great Britain,14,22,29,65
2024,Paris,Summer,8,South Korea,13,9,10,32
2024,Paris,Summer,9,Italy,12,13,15,40
2024,Paris,Summer,10,Germany,12,13,8,33
2024,Paris,Summer,11,New Zealand,10,7,3,20
2024,Paris,Summer,12,Canada,9,7,11,27
2024,Paris,Summer,13,Uzbekistan,8,2,3,13
2024,Paris,Summer,14,Hungary,6,7,6,19
2024,Paris,Summer,15,Spain,5,4,9,18
2024,Paris,Summer,16,Sweden,4,4,3,11
2024,Paris,Summer,17,Kenya,4,2,5,11
2024,Paris,Summer,18,Norway,4,1,3,8
2024,Paris,Summer,19,Ireland,4,0,3,7
2024,Paris,Summer,20,Brazil,3,7,10,20
2022,Beijing,Winter,1,Norway,16,8,13,37
2022,Beijing,Winter,2,Germany,12,10,5,27
2022,Beijing,Winter,3,United States,9,9,7,25
2022,Beijing,Winter,4,China,9,4,2,15
2022,Beijing,Winter,5,Sweden,8,5,5,18
2022,Beijing,Winter,6,Netherlands,8,5,4,17
2022,Beijing,Winter,7,Austria,7,7,4,18
2022,Beijing,Winter,8,Switzerland,7,2,6,15
2022,Beijing,Winter,9,Russian Olympic Committee,5,12,15,32
2022,Beijing,Winter,10,France,5,7,2,14
2022,Beijing,Winter,11,Canada,4,8,14,26
2022,Beijing,Winter,12,Japan,3,7,8,18
2022,Beijing,Winter,13,Italy,2,7,8,17
2022,Beijing,Winter,14,South Korea,2,5,2,9
2022,Beijing,Winter,15,Slovenia,2,3,2,7
2022,Beijing,Winter,16,Finland,2,2,4,8
2022,Beijing,Winter,17,New Zealand,2,1,0,3
2022,Beijing,Winter,18,Australia,1,2,1,4
2022,Beijing,Winter,19,Great Britain,1,1,0,2
2022,Beijing,Winter,20,Hungary,1,0,2,3
2020,Tokyo,Summer,1,United States,39,41,33,113
2020,Tokyo,Summer,2,China,38,32,19,89
2020,Tokyo,Summer,3,Japan,27,14,17,58
2020,Tokyo,Summer,4,Great Britain,22,20,22,64
2020,Tokyo,Summer,5,Russian Olympic Committee,20,28,23,71
2020,Tokyo,Summer,6,Australia,17,7,22,46
2020,Tokyo,Summer,7,Netherlands,10,12,14,36
2020,Tokyo,Summer,8,France,10,12,11,33
2020,Tokyo,Summer,9,Germany,10,11,16,37
2020,Tokyo,Summer,10,Italy,10,10,20,40
2020,Tokyo,Summer,11,Canada,7,7,10,24
2020,Tokyo,Summer,12,Brazil,7,6,8,21
2020,Tokyo,Summer,13,New Zealand,7,6,7,20
2020,Tokyo,Summer,14,Cuba,7,3,5,15
2020,Tokyo,Summer,15,Hungary,6,7,7,20
2020,Tokyo,Summer,16,South Korea,6,4,10,20
2020,Tokyo,Summer,17,Poland,4,5,5,14
2020,Tokyo,Summer,18,Czech Republic,4,4,3,11
2020,Tokyo,Summer,19,Kenya,4,4,2,10
2020,Tokyo,Summer,20,Norway,4,2,2,8
2018,Pyeongchang,Winter,1,Norway,14,14,11,39
2018,Pyeongchang,Winter,2,Germany,14,10,7,31
2018,Pyeongchang,Winter,3,Canada,11,8,10,29
2018,Pyeongchang,Winter,4,United States,9,8,6,23
2018,Pyeongchang,Winter,5,Netherlands,8,6,6,20
2018,Pyeongchang,Winter,6,Sweden,7,6,1,14
2018,Pyeongchang,Winter,7,South Korea,5,8,4,17
2018,Pyeongchang,Winter,8,Switzerland,5,6,4,15
2018,Pyeongchang,Winter,9,France,5,4,6,15
2018,Pyeongchang,Winter,10,Austria,5,3,6,14
2018,Pyeongchang,Winter,11,Japan,4,5,4,13
2018,Pyeongchang,Winter,12,Italy,3,2,5,10
2018,Pyeongchang,Winter,13,Olympic Athletes from Russia,2,6,9,17
2018,Pyeongchang,Winter,14,Czech Republic,2,2,3,7
2018,Pyeongchang,Winter,15,Belarus,2,1,0,3
2018,Pyeongchang,Winter,16,China,1,6,2,9
2018,Pyeongchang,Winter,17,Slovakia,1,2,0,3
2018,Pyeongchang,Winter,18,Finland,1,1,4,6
2018,Pyeongchang,Winter,19,Great Britain,1,0,4,5
2018,Pyeongchang,Winter,20,Poland,1,0,1,2
2016,Rio de Janeiro,Summer,1,United States,46,37,38,121
2016,Rio de Janeiro,Summer,2,Great Britain,27,23,17,67
2016,Rio de Janeiro,Summer,3,China,26,18,26,70
2016,Rio de Janeiro,Summer,4,Russia,19,17,20,56
2016,Rio de Janeiro,Summer,5,Germany,17,10,15,42
2016,Rio de Janeiro,Summer,6,Japan,12,8,21,41
2016,Rio de Janeiro,Summer,7,France,10,18,14,42
2016,Rio de Janeiro,Summer,8,South Korea,9,3,9,21
2016,Rio de Janeiro,Summer,9,Italy,8,12,8,28
2016,Rio de Janeiro,Summer,10,Australia,8,11,10,29
2016,Rio de Janeiro,Summer,11,Netherlands,8,7,4,19
2016,Rio de Janeiro,Summer,12,Hungary,8,3,4,15
2016,Rio de Janeiro,Summer,13,Brazil,7,6,6,19
2016,Rio de Janeiro,Summer,14,Spain,7,4,6,17
2016,Rio de Janeiro,Summer,15,Kenya,6,6,1,13
2016,Rio de Janeiro,Summer,16,Jamaica,6,3,2,11
2016,Rio de Janeiro,Summer,17,Croatia,5,3,2,10
2016,Rio de Janeiro,Summer,18,Cuba,5,2,4,11
2016,Rio de Janeiro,Summer,19,New Zealand,4,9,5,18
